Accession,Protein Name,Length,Organism Scientific Neme
A0A379WA16,Recombinase,81,Salmonella enterica I
A0A1I7MBD9,Rad52/22 double-strand break repair protein,219,Bradyrhizobium arachidis
A0A7C5REW3,Rad52/22 double-strand break repair protein,146,Thermus caliditerrae
A0A430R4P7,Rad52/22 double-strand break repair protein,145,Thermus scotoductus
A0A430S2K7,Rad52/22 double-strand break repair protein,145,Thermus scotoductus
A0A344PKX6,Rad52/22 double-strand break repair protein,203,Paracoccus suum
A9AVA5,Rad52/22 double-strand break repair protein,151,Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785 / 114-95)
Q17W99,Curli production assembly/transport component CsgF,69,Helicobacter acinonychis (strain Sheeba)
A0A1F9M956,DUF4926 domain-containing protein,68,Deltaproteobacteria bacterium RIFOXYD12_FULL_50_9
A0A660W981,FTCD_C domain-containing protein,208,Planctomycetes bacterium
A0A6L9L8Q4,DNA repair protein Rad52,163,Spirosoma terrae
A0A3N5DIK7,Rad52/22 double-strand break repair protein,206,Aurantiacibacter spongiae
A0A838YY20,Rad52/22 double-strand break repair protein,142,Candidatus Actinomarinales bacterium
A0A7L8VXG0,DNA repair protein Rad52,226,Bradyrhizobium sp. SEMIA
A0A4Q2UR33,DNA repair protein Rad52,165,Spirosoma sordidisoli
A0A6P1VX48,DNA repair protein Rad52,165,Spirosoma endbachense
A0A167KD18,Recombinase,305,Pseudoalteromonas luteoviolacea CPMOR-1
A0A1B9NL76,Recombinase,212,Gilliamella apicola
A0A2D5C9I0,Rad52/22 double-strand break repair protein,142,Actinomycetia bacterium
A0A4Q2UPX2,DNA repair protein Rad52,166,Spirosoma sordidisoli
A0A844WYG8,Recombinase,213,Gilliamella sp. Pas-s25
A0A5M3MI35,Rad52/22 double-strand break repair protein,164,Coniophora puteana (strain RWD-64-598)
A0A430V140,Rad52/22 double-strand break repair protein,171,Thermus scotoductus
A0A6G8U634,DNA repair protein Rad52,225,Bradyrhizobium sp. 1(2017)
A0A7Z0TS12,DNA repair protein Rad52,226,Bradyrhizobium sp. 323S2
E8T6W3,Rad52/22 double-strand break repair protein,189,Thermovibrio ammonificans (strain DSM 15698 / JCM 12110 / HB-1)
A0A2T0T3A6,DNA repair protein Rad52,166,Spirosoma oryzae
A0A3P4AWZ2,Rad52/22 double-strand break repair protein,171,Thermus thermophilus
A0A7C2FR17,Rad52/22 double-strand break repair protein,171,Thermus islandicus
H9ZV41,Rad52/22 double-strand break repair protein,171,Thermus thermophilus JL-18
A0A0B0SBL3,Rad52/22 double-strand break repair protein,171,Thermus sp. (strain 2.9)
A0A4Y9FB20,Rad52/22 double-strand break repair protein,171,Thermus tengchongensis
A0A7L5DUS6,DNA repair protein Rad52,166,Spirosoma sp. CJU-R4
A0A0H2RD26,Rad52/22 double-strand break repair protein,162,Schizopora paradoxa
A0A7C5RE34,DNA repair protein Rad52,172,Thermus caliditerrae
W2U104,DNA repair protein Rad52,171,Thermus sp. NMX2.A1
A0A166UAM1,DNA repair protein Rad52,211,Sulfitobacter sp. HI0023
A0A1B9MGB2,Recombinase,212,Gilliamella apicola
A0A1G7JJ74,DNA repair protein Rad52,171,Thermus arciformis
A0A286F6N8,DNA repair protein Rad52,166,Spirosoma fluviale
A0A3M1JAN4,DNA repair protein Rad52,205,Alphaproteobacteria bacterium
A0A6M5Y9P8,DNA repair protein Rad52,167,Spirosoma taeanense
A0A7G5H5J7,DNA repair protein Rad52,166,Spirosoma sp. KCTC 72228
D2QFA4,DNA repair protein Rad52,167,Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896)
I2GKE3,DNA repair protein Rad52,167,Fibrisoma limi BUZ 3
A0A0Q4DME8,Rad52/22 double-strand break repair protein,208,Sphingomonas sp. Leaf10
A0A1I1W5D5,DNA repair protein Rad52,166,Spirosoma endophyticum
A0A1P9WRT6,DNA repair protein Rad52,167,Spirosoma montaniterrae
A0A1Q3WZB3,DNA repair protein Rad52,167,Spirosoma sp. 48-14
A0A418LWG6,DNA repair protein Rad52,167,Fibrisoma montanum
A0A4Q9AXK6,Rad52/22 double-strand break repair protein,171,Thermus thermamylovorans
A0A327NT38,DNA repair protein Rad52,167,Spirosoma telluris
A0A2K8YY02,DNA repair protein Rad52,167,Spirosoma pollinicola
A0A430R9A7,DNA repair protein Rad52,171,Thermus scotoductus
A0A515A3P1,DNA repair protein Rad52,167,Spirosoma sp. KCTC 42546
A0A6M0IP48,DNA repair protein Rad52,167,Spirosoma agri
A0A7K1S4Q0,DNA repair protein Rad52,167,Spirosoma arboris
A0A6G9AUI7,DNA repair protein Rad52,167,Spirosoma aureum
